what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1657847765087
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1657847765100
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1657847765109
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1657847765117
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1657847765122
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1657847765132
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1657847765137
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1657847765147
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1657847765156
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1657847765164
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1657847765223
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1657847765233
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1657847765240
os,sysinfo,,,"win32",1657847765254
arch,sysinfo,,,"x86",1657847765254
ws,sysinfo,,,"win32",1657847765254
locale,sysinfo,,,"pt_BR",1657847765254
processors,sysinfo,,,"2",1657847765255
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1657847765255
java.runtime.version,sysinfo,,,"1.8.0_331-b09",1657847765255
java.specification.name,sysinfo,,,"Java Platform API Specification",1657847765255
java.specification.vendor,sysinfo,,,"Oracle Corporation",1657847765255
java.specification.version,sysinfo,,,"1.8",1657847765255
java.vendor,sysinfo,,,"Oracle Corporation",1657847765255
java.version,sysinfo,,,"1.8.0_331",1657847765255
java.vm.info,sysinfo,,,"mixed mode",1657847765255
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1657847765255
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1657847765255
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1657847765255
java.vm.specification.version,sysinfo,,,"1.8",1657847765255
java.vm.vendor,sysinfo,,,"Oracle Corporation",1657847765255
java.vm.version,sysinfo,,,"25.331-b09",1657847765255
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1657847765321
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1657847765456
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1657847769156
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1657847769170
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1657847769477
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1657847769567
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1657847769876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657848746798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657848916245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657848917333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657851163646
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657851164039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657853901522
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657853901803
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657853904585
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657853906027
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657853906496
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1657853908312
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1657921804376
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1657921804378
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1657921804382
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1657921804385
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1657921804386
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1657921804392
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1657921804393
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1657921804395
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1657921804647
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1657921804649
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1657921804652
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1657921804657
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1657921804659
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1657921804661
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1657921804663
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1657921804664
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1657921804666
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1657921804668
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1657921804669
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1657921804670
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1657921804672
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1657921804673
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1657921804675
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1657921804678
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1657921804679
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1657921804682
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1657921804991
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1657921804993
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1657921804998
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1657921805002
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1657921805003
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1657921805014
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1657921805026
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1657921805031
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1657921805038
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1657921805038
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1657921805042
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1657921805043
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1657921805048
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1657921805052
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1657921805057
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1657921805062
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1657921805066
